Save_row_to_dbase: 7;dfsd;dfsdfs;fdfsdf;sdfsd;10/10/22:16:11:16
Delete_from_dbase: 1;Иван;Иванов;342357567;32423546;10/10/22:16:11:29
Save_row_to_dbase: 7;гршгрг;оропнгпг;лоршгр;шгршгрг;10/10/22:16:20:45
Save_row_to_dbase: 7;uyguyg;jbjnkj;uyguyg;pok[pl;10/10/22:16:22:00
Save_row_to_dbase: 7;kjkjoi;jkhkk;lkhiuh;;lkpok;10/10/22:16:26:45
Delete_from_dbase: 1;Иван;Иванов;342357567;32423546;10/10/22:16:27:05
Save_row_to_dbase: 8;fgdg;ffgdfgd;dfgdfg;dfgdf;10/10/22:16:38:00
Database_sync:;10/10/22:16:38:00
Delete_from_dbase: 1;Иван;Иванов;342357567;32423546;10/10/22:16:38:07
Database_sync:;10/10/22:16:38:07
Save_row_to_dbase: 9;ываыва;ываыва;ываыва;ываыв;10/10/22:16:39:38
Database_sync;10/10/22:16:39:38
Save_row_to_dbase: 10;ываыв;ываыва;авыаыва;ываыв;10/10/22:16:40:12
Database_sync;10/10/22:16:40:12
Save_row_to_dbase: 11;fdgdfg;dfgdfgdf;dfgdfg;dfgdf;10/10/22:16:43:03
Database_sync;10/10/22:16:43:03
Save_row_to_dbase: 12;dfsdfs;sdfsdfsdf;sdfsdf;dfsd;10/10/22:16:44:02
Database_sync;10/10/22:16:44:02
